team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide,프로필변동,plyer_info_2022,팀변경
키움,KIW_HER,MIN_HER,50036,50036,이강준,P,58,"Lee, Kang Jun",20011214,180,80,Right,Right,O,,team change
키움,KIW_HER,MIN_HER,52397,52397,이명종,P,97,"Lee, Myung Jong",20021205,180,84,Right,Right,X,,
키움,KIW_HER,MIN_HER,67363,67363,이병규,OF,9,"Lee, Byung Gyu",19941005,175,73,Right,Left,X,,
키움,KIW_HER,MIN_HER,52301,52301,이세호,IF,91,"Lee, Se Ho",19990227,176,77,Right,Right,X,,
키움,KIW_HER,MIN_HER,53302,53302,이승원,IF,2,"Lee, Seung Won",20040702,185,75,Right,Right,O,X,
키움,KIW_HER,MIN_HER,67603,67603,이승호,P,47,"Lee, Seung Ho",19990208,187,95,Left,Left,X,,
키움,KIW_HER,MIN_HER,64051,64051,이영준,P,64,"Lee, Young Jun",19911010,184,96,Left,Left,X,,
키움,KIW_HER,MIN_HER,74163,74163,이용규,OF,15,"Lee, Yong Kyu",19850826,170,74,Left,Left,X,,
키움,KIW_HER,MIN_HER,51307,51307,이재홍,IF,4,"Lee, Jae Hong",19981217,171,70,Right,Right,X,,
키움,KIW_HER,MIN_HER,67341,67341,이정후,OF,51,"Lee, Jung Hoo",19980820,185,86,Right,Left,X,,
키움,KIW_HER,MIN_HER,50354,50354,이종민,P,54,"Lee, Jong Min",20010604,185,96,Left,Left,X,,
키움,KIW_HER,MIN_HER,51302,51302,이주형,IF,102,"Lee, Ju Hyeong",20020705,183,105,Left,Left,X,,
키움,KIW_HER,MIN_HER,79456,79456,이지영,C,56,"Lee, Ji Young",19860227,177,88,Right,Right,X,,
키움,KIW_HER,MIN_HER,78135,78135,이형종,OF,36,"Lee, Hyung Jong",19890607,183,87,Right,Right,O,,team change
키움,KIW_HER,MIN_HER,53306,53306,이호열,IF,6,"Lee, Ho Yeol",20041117,179,80,Right,Right,O,X,
키움,KIW_HER,MIN_HER,64346,64346,임병욱,OF,35,"Lim, Byeong Wuk",19950930,185,94,Right,Left,X,,
키움,KIW_HER,MIN_HER,64340,64340,임지열,IF,29,"Im, Ji Yeol",19950822,180,94,Right,Right,X,,
키움,KIW_HER,MIN_HER,78352,78352,임창민,P,45,"Lim, Chang Min",19850825,183,94,Right,Right,O,,team change
키움,KIW_HER,MIN_HER,51359,51359,장재영,P,61,"Jang, Jae Young",20020510,188,83,Right,Right,X,,
키움,KIW_HER,MIN_HER,65586,65586,전병우,IF,13,"Jeon, Byeong Woo",19921024,182,93,Right,Right,X,,
키움,KIW_HER,MIN_HER,51306,51306,정연제,P,62,"Jeong, Yeon Je",19980814,186,102,Right,Left,X,,
키움,KIW_HER,MIN_HER,69305,69305,정현민,IF,100,"Jeong, Hyun Min",19990914,175,83,Right,Right,O,X,
키움,KIW_HER,MIN_HER,69332,69332,주성원,OF,25,"Ju, Seong Won",20000830,180,95,Right,Right,X,,
키움,KIW_HER,MIN_HER,52396,52396,주승빈,P,96,"Joo, Seung Bin",20040306,182,84,Left,Left,X,,
키움,KIW_HER,MIN_HER,52330,52330,주승우,P,30,"Joo, Seung Woo",20000130,185,82,Right,Right,X,,
키움,KIW_HER,MIN_HER,65320,65320,최원태,P,20,"Choi, Won Tae",19970107,184,104,Right,Right,X,,
키움,KIW_HER,MIN_HER,64350,64350,하영민,P,50,"Ha, Yeong Min",19950507,180,74,Right,Right,X,,
키움,KIW_HER,MIN_HER,62655,62655,홍성민,P,67,"Hong, Sung Min",19890715,191,87,Right,Switch,O,,team change
키움,KIW_HER,MIN_HER,53375,642558,후라도,P,75,"Jurado, Ariel",19960130,188,109,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,50705,50705,강재민,P,55,"Kang, Jae Min",19970403,180,89,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53710,53710,고영재,OF,110,"Ko, Young Jae",20000118,178,75,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,52769,666247,권광민,OF,56,"Kwon, Gwang Min",19971212,189,102,Left,Left,X,,
한화,HAN_EAG,MIN_HAN,69702,69702,김건,IF,97,"Kim, Gun",20000223,183,79,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,52703,52703,김겸재,P,3,"Kim, Kyum Jae",19981210,187,88,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53701,53701,김관우,P,101,"Kim, Gwan Woo",20030907,182,97,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,51713,51713,김규연,P,60,"Kim, Kyu Yeon",20020823,183,91,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,51715,51715,김기중,P,15,"Kim, Ki Joong",20021116,186,96,Left,Left,X,,
한화,HAN_EAG,MIN_HAN,68707,68707,김민기,IF,2,"Kim, Min Gi",19990612,175,80,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,65764,65764,김민우,P,53,"Kim, Min Woo",19950725,186,123,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,65769,65769,김범수,P,47,"Kim, Beom Su",19951003,181,92,Left,Left,X,,
한화,HAN_EAG,MIN_HAN,50710,50710,김범준,P,68,"Kim, Beom Jun",20000930,175,79,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53754,53754,김서현,P,54,"Kim, Seo Hyeon",20040531,188,86,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,53713,53713,김석훈,C,113,"Kim, Seok Hoon",20001230,175,107,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,53708,53708,김예준,IF,108,"Kim, Ye Jun",20041028,182,78,Right,Left,O,X,
한화,HAN_EAG,MIN_HAN,66715,66715,김인환,IF,37,"Kim, In Hwan",19940128,186,100,Right,Left,X,,
한화,HAN_EAG,MIN_HAN,66741,66741,김재영,P,19,"Kim, Jae Young",19930722,187,88,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,63765,63765,김종수,P,38,"Kim, Jong Soo",19940603,180,88,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,66704,66704,김태연,IF,25,"Kim, Tae Yean",19970610,178,96,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53702,53702,김해찬,OF,102,"Kim, Hae Chan",20040525,178,91,Right,Right,O,X,
한화,HAN_EAG,MIN_HAN,69518,69518,김현우,C,62,"Kim, Hyun Woo",20000407,176,89,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,50720,50720,남지민,P,11,"Nam, Ji Min",20010212,181,100,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,52717,52717,노석진,IF,5,"No, Seok Jin",20030131,187,89,Right,Left,X,,
한화,HAN_EAG,MIN_HAN,63704,63704,노수광,OF,17,"Ro, Soo Kwang",19900806,180,77,Right,Left,X,,
한화,HAN_EAG,MIN_HAN,69737,69737,노시환,IF,8,"Roh, Si Hwan",20001203,185,105,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,63103,63103,류원석,P,61,"Yoo, Won Suk",19891118,186,89,Right,Right,O,,team change
한화,HAN_EAG,MIN_HAN,64029,64029,류희운,P,18,"Ryu, Hee Woon",19950619,191,129,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,52701,52701,문동주,P,1,"Moon, Dong Joo",20031223,188,97,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53764,53764,문현빈,IF,64,"Moon, Hyun Bin",20040420,174,82,Right,Left,O,X,
한화,HAN_EAG,MIN_HAN,52711,52711,민승기,P,1,"Min, Seung Ki",20010706,181,89,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,66707,66707,박상언,C,42,"Park, Sang Un",19970303,185,90,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,67703,67703,박상원,P,58,"Park, Sang Won",19940909,187,98,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,69762,69762,박윤철,P,31,"Park, Yoon Chul",19960323,186,92,Right,Right,X,,
한화,HAN_EAG,MIN_HAN,53706,53706,박재규,P,106,"Park, Jae Kyu",20030703,181,83,Right,Right,O,X,
